employee_id,employee_name,department,experience_years,manager,joining_date
1,Employee_1,Sales,5,Manager_13,2022-10-16
2,Employee_2,Operations,8,Manager_5,2024-01-22
3,Employee_3,Operations,1,Manager_4,2023-03-04
4,Employee_4,Operations,7,Manager_13,2024-02-21
5,Employee_5,Operations,5,Manager_2,2023-03-21
6,Employee_6,Sales,11,Manager_11,2023-03-15
7,Employee_7,Support,5,Manager_9,2024-07-23
8,Employee_8,Support,10,Manager_7,2023-05-04
9,Employee_9,Sales,17,Manager_14,2023-05-06
10,Employee_10,Support,4,Manager_14,2022-04-09
11,Employee_11,Operations,3,Manager_14,2023-10-26
12,Employee_12,Sales,9,Manager_2,2022-04-23
13,Employee_13,Operations,3,Manager_2,2023-07-20
14,Employee_14,Operations,16,Manager_2,2023-12-17
15,Employee_15,Support,20,Manager_14,2022-07-22
16,Employee_16,Sales,16,Manager_13,2023-01-13
17,Employee_17,Sales,17,Manager_7,2022-01-24
18,Employee_18,Operations,0,Manager_14,2022-01-17
19,Employee_19,Operations,16,Manager_5,2024-09-08
20,Employee_20,Sales,6,Manager_14,2024-09-16
21,Employee_21,Sales,16,Manager_3,2023-05-01
22,Employee_22,Sales,18,Manager_1,2024-09-17
23,Employee_23,Sales,1,Manager_15,2022-12-14
24,Employee_24,Support,3,Manager_1,2023-01-28
25,Employee_25,Operations,7,Manager_9,2024-02-27
26,Employee_26,Support,10,Manager_4,2024-06-20
27,Employee_27,Support,17,Manager_5,2023-04-15
28,Employee_28,Support,19,Manager_3,2022-10-25
29,Employee_29,Support,19,Manager_8,2023-10-18
30,Employee_30,Support,18,Manager_12,2023-07-02
31,Employee_31,Sales,6,Manager_10,2023-07-18
32,Employee_32,Sales,0,Manager_8,2023-04-24
33,Employee_33,Sales,5,Manager_7,2022-10-31
34,Employee_34,Operations,17,Manager_10,2024-02-01
35,Employee_35,Support,10,Manager_10,2023-02-17
36,Employee_36,Support,1,Manager_8,2023-06-03
37,Employee_37,Sales,12,Manager_9,2022-12-12
38,Employee_38,Support,13,Manager_6,2023-05-19
39,Employee_39,Sales,9,Manager_5,2022-06-13
40,Employee_40,Operations,7,Manager_1,2023-04-26
41,Employee_41,Operations,8,Manager_10,2023-01-03
42,Employee_42,Sales,11,Manager_13,2024-05-18
43,Employee_43,Operations,3,Manager_9,2023-05-03
44,Employee_44,Sales,10,Manager_15,2023-12-08
45,Employee_45,Sales,6,Manager_7,2023-02-25
46,Employee_46,Support,17,Manager_6,2024-06-25
47,Employee_47,Operations,13,Manager_15,2023-12-20
48,Employee_48,Support,8,Manager_8,2023-01-21
49,Employee_49,Support,15,Manager_8,2024-04-12
50,Employee_50,Support,17,Manager_10,2022-01-08
51,Employee_51,Support,13,Manager_1,2022-02-25
52,Employee_52,Operations,11,Manager_10,2023-06-06
53,Employee_53,Support,0,Manager_10,2023-02-09
54,Employee_54,Support,15,Manager_13,2023-04-14
55,Employee_55,Support,17,Manager_11,2023-07-17
56,Employee_56,Operations,18,Manager_10,2022-07-02
57,Employee_57,Operations,8,Manager_1,2023-07-28
58,Employee_58,Support,11,Manager_6,2024-04-11
59,Employee_59,Operations,14,Manager_6,2024-02-27
60,Employee_60,Operations,2,Manager_12,2024-02-22
61,Employee_61,Sales,7,Manager_5,2022-12-13
62,Employee_62,Support,11,Manager_1,2022-11-10
63,Employee_63,Operations,2,Manager_10,2024-08-06
64,Employee_64,Support,12,Manager_11,2022-06-10
65,Employee_65,Sales,17,Manager_14,2022-11-12
66,Employee_66,Support,2,Manager_12,2023-06-03
67,Employee_67,Sales,6,Manager_11,2022-11-25
68,Employee_68,Operations,12,Manager_10,2022-01-24
69,Employee_69,Sales,9,Manager_6,2023-10-16
70,Employee_70,Operations,1,Manager_10,2023-12-03
71,Employee_71,Sales,13,Manager_15,2022-05-12
72,Employee_72,Sales,7,Manager_8,2024-06-05
73,Employee_73,Support,11,Manager_1,2023-07-10
74,Employee_74,Sales,13,Manager_9,2022-08-19
75,Employee_75,Sales,3,Manager_10,2024-01-10
76,Employee_76,Operations,13,Manager_13,2022-10-06
77,Employee_77,Sales,5,Manager_15,2022-12-14
78,Employee_78,Support,18,Manager_2,2024-01-21
79,Employee_79,Operations,19,Manager_10,2024-09-22
80,Employee_80,Support,20,Manager_12,2023-09-10
81,Employee_81,Support,0,Manager_2,2022-06-07
82,Employee_82,Operations,3,Manager_2,2022-07-09
83,Employee_83,Support,4,Manager_7,2022-12-19
84,Employee_84,Sales,14,Manager_15,2022-03-04
85,Employee_85,Sales,10,Manager_4,2023-06-14
86,Employee_86,Sales,5,Manager_3,2022-08-27
87,Employee_87,Support,6,Manager_7,2022-09-10
88,Employee_88,Operations,12,Manager_13,2022-04-10
89,Employee_89,Operations,11,Manager_9,2023-11-15
90,Employee_90,Sales,4,Manager_15,2024-08-15
91,Employee_91,Operations,9,Manager_8,2022-09-10
92,Employee_92,Support,13,Manager_15,2024-02-07
93,Employee_93,Support,4,Manager_10,2023-09-30
94,Employee_94,Operations,6,Manager_7,2023-05-27
95,Employee_95,Operations,15,Manager_9,2022-09-25
96,Employee_96,Support,19,Manager_4,2023-08-26
97,Employee_97,Sales,11,Manager_10,2022-05-13
98,Employee_98,Support,19,Manager_4,2022-10-29
99,Employee_99,Support,4,Manager_11,2022-01-10
100,Employee_100,Sales,0,Manager_12,2023-09-29
101,Employee_101,Support,0,Manager_11,2024-06-27
102,Employee_102,Sales,18,Manager_11,2022-08-21
103,Employee_103,Operations,6,Manager_5,2024-08-25
104,Employee_104,Operations,11,Manager_3,2024-09-08
105,Employee_105,Support,7,Manager_4,2023-11-22
106,Employee_106,Sales,0,Manager_14,2022-04-02
107,Employee_107,Sales,6,Manager_2,2023-07-19
108,Employee_108,Operations,8,Manager_11,2023-05-17
109,Employee_109,Operations,5,Manager_15,2023-12-26
110,Employee_110,Sales,7,Manager_11,2023-10-23
111,Employee_111,Operations,14,Manager_15,2023-04-17
112,Employee_112,Operations,8,Manager_14,2023-03-14
113,Employee_113,Support,6,Manager_2,2023-12-13
114,Employee_114,Sales,0,Manager_6,2024-01-16
115,Employee_115,Sales,14,Manager_9,2024-03-07
116,Employee_116,Sales,8,Manager_14,2023-11-06
117,Employee_117,Operations,16,Manager_4,2023-02-27
118,Employee_118,Operations,9,Manager_5,2023-09-24
119,Employee_119,Sales,12,Manager_6,2023-05-24
120,Employee_120,Support,3,Manager_2,2022-09-23
121,Employee_121,Support,15,Manager_6,2023-06-20
122,Employee_122,Support,17,Manager_14,2024-03-02
123,Employee_123,Sales,9,Manager_6,2024-02-28
124,Employee_124,Support,2,Manager_15,2022-12-24
125,Employee_125,Support,4,Manager_5,2024-09-15
126,Employee_126,Support,17,Manager_8,2024-07-12
127,Employee_127,Support,12,Manager_2,2023-07-27
128,Employee_128,Sales,16,Manager_14,2024-02-11
129,Employee_129,Sales,7,Manager_10,2023-11-11
130,Employee_130,Support,19,Manager_6,2024-08-24
131,Employee_131,Support,19,Manager_13,2024-06-18
132,Employee_132,Sales,19,Manager_1,2023-11-17
133,Employee_133,Sales,12,Manager_10,2024-04-10
134,Employee_134,Sales,11,Manager_14,2024-06-06
135,Employee_135,Sales,7,Manager_3,2023-06-17
136,Employee_136,Support,15,Manager_5,2023-09-17
137,Employee_137,Sales,7,Manager_8,2024-07-14
138,Employee_138,Operations,19,Manager_13,2023-05-11
139,Employee_139,Support,4,Manager_6,2023-06-03
140,Employee_140,Support,12,Manager_15,2024-09-06
141,Employee_141,Sales,13,Manager_2,2023-02-10
142,Employee_142,Operations,17,Manager_14,2023-10-13
143,Employee_143,Support,1,Manager_9,2024-06-29
144,Employee_144,Support,2,Manager_11,2022-06-11
145,Employee_145,Operations,12,Manager_14,2022-02-11
146,Employee_146,Operations,19,Manager_10,2023-07-29
147,Employee_147,Operations,13,Manager_4,2022-11-20
148,Employee_148,Support,2,Manager_2,2022-06-17
149,Employee_149,Support,2,Manager_9,2022-07-23
150,Employee_150,Support,18,Manager_5,2022-02-20
