product_id,product_name,category,subcategory,brand,launch_date,unit_price,supplier
1,Samsung Laptop 1,Laptop,Ultrabook,Dell,2023-09-05,627,Supplier_18
2,HP Laptop 2,Laptop,Ultrabook,Bose,2023-09-09,2290,Supplier_20
3,Samsung Laptop 3,Laptop,Ultrabook,Samsung,2022-04-08,486,Supplier_3
4,Bose Laptop 4,Laptop,Gaming,Samsung,2022-04-26,2925,Supplier_12
5,Asus Laptop 5,Laptop,Ultrabook,Dell,2023-02-01,2920,Supplier_4
6,Samsung Laptop 6,Laptop,Gaming,Asus,2022-03-09,1769,Supplier_19
7,Asus Laptop 7,Laptop,Ultrabook,Lenovo,2024-01-14,71,Supplier_2
8,Canon Laptop 8,Laptop,Gaming,Sony,2022-12-05,1031,Supplier_4
9,Apple Laptop 9,Laptop,Gaming,Canon,2023-07-28,1776,Supplier_16
10,Sony Laptop 10,Laptop,Ultrabook,Dell,2023-01-16,2293,Supplier_4
11,Lenovo Laptop 11,Laptop,Gaming,Canon,2022-01-15,2719,Supplier_17
12,Dell Laptop 12,Laptop,Ultrabook,Dell,2022-11-06,709,Supplier_19
13,HP Laptop 13,Laptop,Ultrabook,HP,2022-11-27,931,Supplier_8
14,Bose Laptop 14,Laptop,Gaming,Lenovo,2022-02-06,2690,Supplier_3
15,HP Laptop 15,Laptop,Gaming,LG,2024-02-05,1567,Supplier_7
16,Bose Laptop 16,Laptop,Ultrabook,Sony,2022-12-26,79,Supplier_3
17,Asus Laptop 17,Laptop,Gaming,Sony,2023-03-23,1529,Supplier_16
18,Asus Laptop 18,Laptop,Gaming,Canon,2022-03-24,923,Supplier_7
19,HP Laptop 19,Laptop,Ultrabook,HP,2023-12-31,2452,Supplier_6
20,Asus Laptop 20,Laptop,Gaming,Dell,2023-02-13,2967,Supplier_15
21,Canon Laptop 21,Laptop,Gaming,Lenovo,2023-07-13,408,Supplier_16
22,LG Laptop 22,Laptop,Gaming,Samsung,2023-01-25,1078,Supplier_7
23,Sony Laptop 23,Laptop,Gaming,Bose,2023-07-11,2125,Supplier_18
24,LG Laptop 24,Laptop,Ultrabook,Samsung,2023-01-14,430,Supplier_7
25,Apple Laptop 25,Laptop,Gaming,LG,2022-07-03,2316,Supplier_14
26,Lenovo Laptop 26,Laptop,Ultrabook,Dell,2023-12-14,1538,Supplier_4
27,HP Laptop 27,Laptop,Gaming,Lenovo,2024-05-04,2746,Supplier_10
28,Apple Laptop 28,Laptop,Gaming,Dell,2022-07-06,1247,Supplier_11
29,LG Laptop 29,Laptop,Gaming,Samsung,2023-03-07,1699,Supplier_6
30,Apple Laptop 30,Laptop,Ultrabook,Samsung,2022-04-23,1776,Supplier_20
31,HP Phone 31,Phone,Android,Dell,2022-02-01,2558,Supplier_13
32,LG Phone 32,Phone,iPhone,Lenovo,2022-07-03,2798,Supplier_4
33,Apple Phone 33,Phone,Android,HP,2024-02-16,884,Supplier_4
34,Lenovo Phone 34,Phone,iPhone,Lenovo,2023-06-14,1434,Supplier_13
35,Dell Phone 35,Phone,iPhone,LG,2022-09-28,1906,Supplier_7
36,HP Phone 36,Phone,Android,Apple,2022-05-19,508,Supplier_7
37,Asus Phone 37,Phone,Android,Sony,2023-06-02,1199,Supplier_11
38,Lenovo Phone 38,Phone,iPhone,Apple,2024-05-07,2021,Supplier_13
39,HP Phone 39,Phone,Android,Apple,2023-05-09,1343,Supplier_20
40,Canon Phone 40,Phone,iPhone,Bose,2023-06-25,2647,Supplier_8
41,LG Phone 41,Phone,iPhone,Canon,2022-12-30,937,Supplier_18
