promotion_id,promotion_name,promotion_type,start_date,end_date,discount_percentage
1,No Promotion,None,2022-01-01,2024-12-31,0
2,Promo_2,Clearance,2023-01-01,2024-12-31,25
3,Promo_3,Clearance,2023-01-01,2024-12-31,20
4,Promo_4,Flash Sale,2023-01-01,2024-12-31,10
5,Promo_5,Flash Sale,2023-01-01,2024-12-31,10
6,Promo_6,Holiday,2023-01-01,2024-12-31,30
7,Promo_7,Clearance,2023-01-01,2024-12-31,30
8,Promo_8,Flash Sale,2023-01-01,2024-12-31,15
9,Promo_9,Clearance,2023-01-01,2024-12-31,5
10,Promo_10,Flash Sale,2023-01-01,2024-12-31,25
11,Promo_11,Flash Sale,2023-01-01,2024-12-31,20
12,Promo_12,Clearance,2023-01-01,2024-12-31,15
13,Promo_13,Clearance,2023-01-01,2024-12-31,10
14,Promo_14,Clearance,2023-01-01,2024-12-31,30
15,Promo_15,Holiday,2023-01-01,2024-12-31,5
16,Promo_16,Clearance,2023-01-01,2024-12-31,5
17,Promo_17,Clearance,2023-01-01,2024-12-31,25
18,Promo_18,Holiday,2023-01-01,2024-12-31,5
19,Promo_19,Flash Sale,2023-01-01,2024-12-31,5
20,Promo_20,Holiday,2023-01-01,2024-12-31,5
