store_id,store_name,country,state,city,store_type,store_size,opening_date
1,Los Angeles Store,USA,CA,Los Angeles,Outlet,Medium,2022-08-17
2,San Diego Store,USA,CA,San Diego,Standalone,Small,2023-05-26
3,Dallas Store,USA,TX,Dallas,Mall,Medium,2023-05-21
4,Austin Store,USA,TX,Austin,Mall,Large,2023-08-18
5,New York Store,USA,NY,New York,Outlet,Large,2022-06-23
6,Toronto Store,Canada,ON,Toronto,Standalone,Small,2022-05-04
7,Vancouver Store,Canada,BC,Vancouver,Outlet,Large,2022-10-31
8,London Store,UK,England,London,Mall,Medium,2022-12-12
9,Manchester Store,UK,England,Manchester,Mall,Medium,2023-02-01
10,Munich Store,Germany,Bavaria,Munich,Outlet,Medium,2023-11-20
11,Sydney Store,Australia,NSW,Sydney,Outlet,Medium,2022-08-26
