sale_id,date_id,customer_id,product_id,store_id,employee_id,promotion_id,quantity,sales_amount,cost,discount,profit,payment_method,delivery_days,returned,review_rating
1,232,991,89,8,45,16,2,1577.0,990.17,83.0,586.83,Online,5,0,1
2,697,815,61,2,68,18,5,13119.5,7346.37,690.5,5773.13,Card,5,1,2
3,614,1081,16,2,91,15,4,300.2,173.18,15.8,127.02,Card,0,0,3
4,454,171,88,5,92,4,2,4795.2,2757.43,532.8,2037.77,Card,4,0,3
5,423,1053,71,3,141,20,5,10222.0,7116.09,538.0,3105.91,Card,9,0,3
6,451,628,103,2,19,13,2,1557.0,1206.96,173.0,350.04,Online,1,0,4
7,474,1671,199,2,112,15,3,1980.75,1579.22,104.25,401.53,Cash,10,0,2
8,169,226,72,1,120,17,3,6693.75,5066.57,2231.25,1627.18,Card,4,0,5
9,1039,1118,235,9,100,6,3,4368.0,3305.05,1872.0,1062.95,UPI,5,0,2
10,687,337,132,5,80,9,4,6452.4,3870.94,339.6,2581.46,Online,1,0,3
11,457,913,147,5,9,20,5,2351.25,1479.31,123.75,871.94,Card,0,0,3
12,427,1370,76,7,95,16,1,1748.0,1031.43,92.0,716.57,Online,6,0,1
13,931,738,189,11,66,9,2,3347.8,2396.45,176.2,951.35,Card,4,0,3
14,320,690,59,6,132,3,1,115.2,78.99,28.8,36.21,Cash,7,0,3
15,156,1231,174,11,136,16,4,6547.4,4782.35,344.6,1765.05,UPI,7,1,5
16,949,251,156,6,98,9,5,13851.0,10618.84,729.0,3232.16,Online,9,0,4
17,154,1708,83,8,35,17,5,6101.25,4114.66,2033.75,1986.59,Cash,9,0,4
18,148,1235,58,10,86,15,1,2349.35,1469.32,123.65,880.03,Cash,2,0,3
19,438,636,193,8,21,14,5,3881.5,2731.48,1663.5,1150.02,Card,3,0,4
20,328,1166,168,3,150,17,2,2764.5,1525.08,921.5,1239.42,Online,2,0,1
21,299,795,84,2,45,19,4,8386.6,4660.36,441.4,3726.24,Online,8,1,3
22,577,1679,48,11,76,1,1,1242.0,746.0,0.0,496.0,Card,7,1,3
23,540,1131,60,6,116,13,3,4538.7,2645.05,504.3,1893.65,UPI,4,0,1
24,811,1173,196,4,88,12,4,3981.4,2834.76,702.6,1146.64,Online,4,0,5
25,372,754,32,1,63,3,5,11192.0,8267.07,2798.0,2924.93,Card,0,0,2
26,50,878,161,10,113,2,4,6606.0,4928.37,2202.0,1677.63,UPI,5,0,4
27,93,279,7,4,99,13,3,191.7,121.66,21.3,70.04,UPI,10,0,3
28,780,99,184,2,48,15,1,45.6,33.18,2.4,12.42,UPI,10,1,1
29,972,1417,125,1,83,10,5,2970.0,2153.37,990.0,816.63,Online,7,0,5
30,837,743,225,6,77,10,4,8532.0,6582.73,2844.0,1949.27,Card,4,0,1
31,711,835,35,9,95,15,1,1810.7,1142.0,95.3,668.7,Cash,8,0,5
32,724,447,231,5,6,9,1,859.75,660.43,45.25,199.32,Online,6,0,5
33,210,917,144,2,72,11,2,4766.4,2648.53,1191.6,2117.87,Online,8,0,3
34,775,106,169,11,150,19,2,3114.1,2056.83,163.9,1057.27,Cash,2,0,3
35,1016,472,17,6,111,15,2,2905.1,1840.21,152.9,1064.89,Card,0,0,2
36,416,450,251,10,11,4,3,2011.5,1475.05,223.5,536.45,Cash,2,0,1
37,919,1278,149,9,50,1,2,3708.0,2151.19,0.0,1556.81,Card,0,0,3
38,191,632,48,9,58,12,3,3167.1,2422.03,558.9,745.07,UPI,4,0,3
